miRNA	PValue	logFC	FDR
hsa-mir-125b-1	2.58552467197056e-16	-1.00161044088325	5.23e-15
hsa-let-7a-1	2.503797787977e-08	-0.606930394446963	2.13e-07
hsa-mir-125b-2	1.1482003134135e-17	-1.06161235789487	2.70e-16
hsa-let-7a-3	2.64434400432278e-08	-0.604964170450868	2.23e-07
hsa-let-7a-2	2.23161816699812e-08	-0.609628999463967	1.92e-07
hsa-let-7b	0.000766178224383873	-0.367610987240008	3.24e-03
hsa-let-7e	0.606511338524156	-0.0687227207310583	9.64e-01
hsa-mir-1-1	9.76931529746619e-27	-3.36930554437297	4.08e-25
hsa-mir-221	0.0452880567785603	0.252113844511031	1.16e-01
hsa-mir-145	8.04645732477375e-06	-0.563207753538145	4.80e-05
hsa-let-7c	5.3037787277951e-31	-1.88780725245162	2.93e-29
hsa-let-7d	4.46927415455278e-10	0.478509928621971	4.72e-09
hsa-let-7i	0.38551081529168	0.0722576450496868	6.91e-01
hsa-let-7f-2	0.000471984434723969	-0.510938662900035	2.07e-03
hsa-mir-100	2.79547903746066e-37	-1.77162800321602	2.10e-35
hsa-mir-375	6.71613973766675e-51	-3.60328343357926	1.15e-48
hsa-mir-200c	0.0139457607522448	0.356369011846406	4.22e-02
hsa-mir-9-1	1.10185835702362e-12	3.25801788108324	1.57e-11
hsa-let-7f-1	0.000402740978310889	-0.517264941345114	1.79e-03
hsa-mir-34a	0.0123328094837541	-0.287183931734976	3.83e-02
hsa-let-7g	2.5712052208113e-05	-0.377088096886407	1.44e-04
hsa-mir-9-2	1.07783597904226e-12	3.25922699728988	1.56e-11
hsa-mir-181a-1	3.61789274617221e-07	0.621358919853347	2.66e-06
hsa-mir-31	4.16704630494777e-14	2.54920659971934	7.13e-13
hsa-mir-18a	1.86697237887739e-18	1.49796254786261	4.62e-17
hsa-mir-205	1.09883369842344e-12	1.12785385148339	1.57e-11
hsa-mir-1-2	2.13979721568495e-26	-3.35568873689071	8.75e-25
hsa-mir-29c	1.94649519842734e-45	-2.09908113705094	2.44e-43
hsa-mir-143	2.50406733322576e-17	-1.46176480904508	5.61e-16
hsa-mir-9-3	1.19454335266527e-12	3.2553292520082	1.69e-11
hsa-mir-7-2	2.00011159551954e-08	1.51926862982362	1.73e-07
hsa-mir-7-1	1.45923032207845e-08	0.669345194182444	1.28e-07
hsa-mir-7-3	7.46500665440755e-09	1.600507659238	6.85e-08
hsa-mir-141	0.00111130423367128	0.499084557772982	4.48e-03
hsa-mir-138-2	0.0324637286571545	0.583088692130695	8.75e-02
hsa-mir-138-1	0.0139351088290699	0.660925545208497	4.22e-02
hsa-mir-21	2.47972923193122e-27	1.23603462253808	1.08e-25
hsa-mir-142	4.6168443386617e-07	0.971233882157358	3.34e-06
hsa-mir-181a-2	4.74001390682528e-07	0.607999685296853	3.42e-06
hsa-mir-146b	0.0241336295396816	0.334761678108622	6.76e-02
hsa-mir-223	0.57672265054829	0.110928804036428	9.23e-01
hsa-mir-15a	2.95727374037956e-05	0.475202037875408	1.64e-04
hsa-mir-155	0.0144630927864495	0.422276646562309	4.33e-02
hsa-mir-193b	1.93003684193345e-19	1.70790896737323	5.26e-18
hsa-mir-181b-1	5.89239206405269e-11	0.856246863219326	7.29e-10
hsa-mir-181b-2	2.16601108326593e-10	0.8830475902359	2.37e-09
hsa-mir-18b	0.116468280445235	0.40188149761446	2.56e-01
hsa-mir-99a	3.34670043340138e-30	-1.97195144181123	1.66e-28
hsa-mir-130a	3.34470243963686e-07	0.680169678074097	2.47e-06
hsa-mir-27b	2.92902421646876e-17	-0.888702977085649	6.41e-16
