beta	gamma	F_AUC
0.010000	0.010000	0.899399
0.010000	0.100000	0.898851
0.010000	1.000000	0.898792
0.010000	10.000000	0.898786
0.010000	100.000000	0.898786
0.100000	0.010000	0.899399
0.100000	0.100000	0.898851
0.100000	1.000000	0.898792
0.100000	10.000000	0.898786
0.100000	100.000000	0.898786
1.000000	0.010000	0.899389
1.000000	0.100000	0.898841
1.000000	1.000000	0.898782
1.000000	10.000000	0.898777
1.000000	100.000000	0.898776
10.000000	0.010000	0.933366
10.000000	0.100000	0.928064
10.000000	1.000000	0.930956
10.000000	10.000000	0.931395
10.000000	100.000000	0.931427
100.000000	0.010000	0.932981
100.000000	0.100000	0.932128
100.000000	1.000000	0.932949
100.000000	10.000000	0.932962
100.000000	100.000000	0.932963
