alpha	gamma	F_AUC
0.000100	0.010000	0.933366
0.000100	0.100000	0.928064
0.000100	1.000000	0.930956
0.000100	10.000000	0.931395
0.000100	100.000000	0.931427
0.001000	0.010000	0.784518
0.001000	0.100000	0.890876
0.001000	1.000000	0.885800
0.001000	10.000000	0.889614
0.001000	100.000000	0.889786
0.010000	0.010000	0.859346
0.010000	0.100000	0.899802
0.010000	1.000000	0.899399
0.010000	10.000000	0.898850
0.010000	100.000000	0.898792
0.100000	0.010000	0.895354
0.100000	0.100000	0.905544
0.100000	1.000000	0.903016
0.100000	10.000000	0.899399
0.100000	100.000000	0.898851
1.000000	0.010000	0.881267
1.000000	0.100000	0.895354
1.000000	1.000000	0.905544
1.000000	10.000000	0.903016
1.000000	100.000000	0.899399
