alpha	beta	F_AUC
0.000100	0.010000	0.898792
0.000100	0.100000	0.898792
0.000100	1.000000	0.898782
0.000100	10.000000	0.930956
0.000100	100.000000	0.932949
0.001000	0.010000	0.898851
0.001000	0.100000	0.898851
0.001000	1.000000	0.898848
0.001000	10.000000	0.885800
0.001000	100.000000	0.888338
0.010000	0.010000	0.899399
0.010000	0.100000	0.899399
0.010000	1.000000	0.899399
0.010000	10.000000	0.899399
0.010000	100.000000	0.883597
0.100000	0.010000	0.903016
0.100000	0.100000	0.903016
0.100000	1.000000	0.903016
0.100000	10.000000	0.903016
0.100000	100.000000	0.903016
1.000000	0.010000	0.905544
1.000000	0.100000	0.905544
1.000000	1.000000	0.905544
1.000000	10.000000	0.905544
1.000000	100.000000	0.905544
